SNID,host_name,morphology,n_entries,logMstar,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,F_fill,G_sat,G_overflow,mean_mu_resid,mean_H0
2021hpr,,late/diffuse,1,6.952,8.0,2.0,150.0,0.007837903808858316,1.8171865131270964e-15,0.0,-0.0846942023563972,70.08074935906738
2004bk,,late/diffuse,1,7.0,8.0,2.0,150.0,0.008283233980733893,2.6754664225291416e-15,0.0,-0.1176463361055244,71.15233613012154
2003gn,,late/diffuse,1,7.0,8.0,2.0,150.0,0.008283233980733893,2.6754664225291416e-15,0.0,0.2654654547633068,59.64400604915595
2005hc,,late/diffuse,2,7.0,8.0,2.0,150.0,0.008283233980733893,2.6754664225291416e-15,0.0,0.05157813411773125,65.82238734516643
2011iv,,late/diffuse,1,7.0,8.0,2.0,150.0,0.008283233980733893,2.6754664225291416e-15,0.0,-0.9740259128965096,105.55166274953127
2013dy,NGC 7250,spiral/Sdm,2,9.131,1.8,2.0,40.0,0.05414737438808094,1.3647145342165338e-09,0.0,0.28472710440513005,59.12332807814706
2012cg,NGC 4424,Sa/disturbed,2,9.633,2.6,5.0,50.0,0.2509441077338047,6.266308961516478e-05,0.0,0.6279428578946806,50.475042861783464
2011fe,M101,spiral/Scd,2,10.677,6.9,5.0,50.0,0.5124354086866237,0.009193120082574866,0.0,0.5327923032901882,52.73987586355955
1998aq,NGC 3982,Sbc/spiral,1,10.199,3.8,4.5,73.0,0.5233198926505997,0.01063475176232598,0.0,0.7160574537414615,48.46725300756247
2011by,NGC 3972,spiral/Sbc,1,10.417,3.0,3.0,100.0,0.6913282363518214,0.07017633197950923,0.0,1.0126574537414594,42.27936011637878
2007af,NGC 5584,barred spiral/SAB(rs)cd,4,10.331,3.5,3.0,150.0,0.8695652173913044,0.2732225596195197,0.0,0.00012306898129567367,67.40566280616252
1990N,NGC 4639,spiral/SABbc,1,9.802,2.6,8.0,100.0,0.9754993425955686,0.45669860641177057,0.0,0.8547449360388963,45.46852954554254
2012fr,NGC 1365,massive barred spiral/Fornax,2,10.732,10.8,6.5,150.0,1.7018309045481044,0.9763840280403302,0.40265838618545136,-0.3102422987413149,77.7682322200694
2009Y,NGC 5728,active/Seyfert spiral,3,10.636,6.0,7.0,147.0,2.1575626612564935,0.9954263260727793,0.5340602003292629,-0.30425936511527313,77.62821866360123
2006ot,,early/compact,2,11.3736,2.5,8.0,150.0,9.112444783795432,0.9999998083293796,0.8902597954068685,-0.0201909554057859,68.21973390724749
2008dr,,early/compact,1,11.3888,2.5,8.0,150.0,9.273312809656794,0.9999998304274472,0.892163520906421,0.1398616383874778,63.19570583475025
2001el,NGC 1448,early/compact,1,11.28,3.0,7.0,220.0,9.584815589343885,0.9999998654407336,0.8956681903949973,0.8226313278816857,46.145954227493185
AT2016cvv,,early/compact,1,11.4594,2.5,8.0,150.0,10.05853912993371,0.9999999040034578,0.9005818979604622,0.1780053379677806,62.095314200418805
2015F,,early/compact,2,12.198,2.5,8.0,150.0,23.541542189459136,0.9999999997504511,0.9575218990507354,-0.017789297222558148,67.96957583507125
1997bq,,early/compact,1,12.588,2.5,8.0,150.0,36.88373641733119,0.9999999999892315,0.9728877793434039,-0.175478777495849,73.07278369521848
