id,z,M_star_msun,mu_06,mu_08,mu_10,mu_15,mu_20,G_06,G_08,G_10,G_15,G_20,G_min_all,G_max_all,stability_class
12385,13.482972,2922986000.0,63.387627,174.587357,2547.705078,106.389412,71.503822,0.86147,0.939885,0.989069,0.910534,0.87516,0.86147,0.989069,stable_registered
21001,8.306184,7332993000.0,2.584202,2.633265,2.664189,2.711214,2.73588,0.861701,0.864753,0.86661,0.869341,0.87073,0.861701,0.87073,stable_registered
28312,10.266833,2531407000.0,3.367261,3.46531,3.528144,3.625263,3.676982,0.811662,0.817148,0.820499,0.825439,0.82796,0.811662,0.82796,stable_registered
46174,9.269169,2724313000.0,1.0,1.0,1.0,1.0,1.0,0.676998,0.676998,0.676998,0.676998,0.676998,0.676998,0.676998,outside_map_or_invalid
27227,12.047959,2434435000.0,1.521158,1.53095,1.537004,1.546043,1.550706,0.143018,0.1446,0.145579,0.147042,0.147797,0.143018,0.147797,weak_registered
18521,11.66936,4193949000.0,1.988018,2.010221,2.024024,2.044733,2.055464,0.134673,0.137381,0.139068,0.141602,0.142917,0.134673,0.142917,weak_registered
9562,12.014833,2705228000.0,1.443677,1.451622,1.456529,1.463844,1.467613,0.11198,0.113128,0.113837,0.114897,0.115443,0.11198,0.115443,weak_registered
41851,12.118678,2489375000.0,1.325834,1.331631,1.335211,1.340548,1.343297,0.098643,0.09947,0.09998,0.100743,0.101137,0.098643,0.101137,weak_or_mixed
35879,12.193839,3903797000.0,1.755647,1.772881,1.783607,1.799721,1.808079,0.063893,0.065223,0.066055,0.067311,0.067966,0.063893,0.067966,unregistered
13261,15.279036,2827233000.0,4.297591,4.483494,4.605488,4.798613,4.903793,0.018078,0.019828,0.02101,0.022936,0.024011,0.018078,0.024011,unregistered
9174,12.926043,3307316000.0,1.450161,1.458249,1.463244,1.470692,1.47453,0.022412,0.022717,0.022906,0.02319,0.023337,0.022412,0.023337,unregistered
47333,13.041079,2410087000.0,1.0,1.0,1.0,1.0,1.0,0.016599,0.016599,0.016599,0.016599,0.016599,0.016599,0.016599,outside_map_or_invalid
22467,16.926487,2965933000.0,7.726354,8.145655,8.421383,8.858636,9.097095,0.008093,0.009107,0.009802,0.010946,0.011592,0.008093,0.011592,unregistered
29458,12.693141,3665455000.0,1.0,1.0,1.0,1.0,1.0,0.009169,0.009169,0.009169,0.009169,0.009169,0.009169,0.009169,outside_map_or_invalid
31156,14.168686,3006269000.0,1.455765,1.464717,1.470261,1.478549,1.48283,0.004812,0.004894,0.004946,0.005023,0.005063,0.004812,0.005063,unregistered
