subset,N,mean_H0,highF_H0,lowF_H0,Adult_minus_Child_H0
All Active,100,67.60058918839802,70.28879120299644,67.30898810325553,2.9798030997409057
Calibrators Only,42,63.55026786976408,66.90126617645663,61.44666813166509,5.454598044791538
Hubble-flow Only,58,70.53358048809847,72.05030421679712,72.72036038472363,-0.6700561679265178
HF: z < 0.025 (Local),8,80.68174226797456,82.55645778663232,67.55873363737015,14.997724149262169
HF: 0.025 <= z < 0.05 (Mid),43,69.22233969800563,67.43862633034628,73.1504959470031,-5.711869616656813
HF: z >= 0.05 (High),7,66.9904461645247,70.59433531943576,,
HF: Core (|mu_resid| <= 0.2),45,67.90500809776022,68.1649370662808,68.46331811810583,-0.2983810518250323
HF: Outliers (|mu_resid| > 0.2),13,79.63248491619237,87.59177281886234,79.53162801131208,8.060144807550259
Calibrators: Mass Low (<9.5),5,64.81010050619523,70.08074935906738,62.14701570914803,7.933733649919354
HF: Mass Low (<9.5),14,73.73629945950165,75.54259806849379,73.01378001590479,2.5288180525890027
Calibrators: Mass Mid (9.5-10.5),21,60.94210299832283,65.109099108919,59.63127616747519,5.477822941443804
HF: Mass Mid (9.5-10.5),23,67.77182435732976,68.19945114318358,71.74229494745309,-3.542843804269509
Calibrators: Mass High (>10.5),16,66.57978656464599,67.14537928979023,73.86876111273551,-6.723381822945285
HF: Mass High (>10.5),21,71.42321503133823,71.7204374136624,,
